SrNo,Juz,JuzNameArabic,JuzNameEnglish,SurahNo,SurahNameArabic,SurahNameEnglish,SurahMeaning,WebLink,Classification,AyahNo,EnglishTranslation,,ArabicText,ArabicWordCount,ArabicLetterCount,OrignalArabicText
18,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/11,Medani,11,"When it is said to them: ""Make not mischief on the earth,"" they say: ""Why, we only Want to make peace!""",,???? ??? ??? ?? ?????? ?? ????? ????? ???? ??? ??????,11,43,??????? ????? ?????? ??? ?????????? ??? ????????? ??????? ???????? ?????? ???????????
19,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/12,Medani,12,"Of a surety, they are the ones who make mischief, but they realise (it) not.",,??? ???? ?? ???????? ???? ?? ??????,7,29,????? ????????? ???? ?????????????? ????????? ??? ???????????
20,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/13,Medani,13,"When it is said to them: ""Believe as the others believe:"" They say: ""Shall we believe as the fools believe?"" Nay, of a surety they are the fools, but they do not know.",,???? ??? ??? ????? ??? ??? ????? ????? ????? ??? ??? ??????? ? ??? ???? ?? ??????? ???? ?? ??????,20,78,??????? ????? ?????? ??????? ????? ????? ???????? ??????? ?????????? ????? ????? ???????????? ? ????? ????????? ???? ???????????? ????????? ??? ???????????
21,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/14,Medani,14,"When they meet those who believe, they say: ""We believe;"" but when they are alone with their evil ones, they say: ""We are really with you: We (were) only jesting.""",,???? ???? ????? ????? ????? ???? ???? ???? ??? ???????? ????? ??? ???? ???? ??? ????????,16,73,??????? ?????? ????????? ??????? ??????? ??????? ??????? ??????? ?????? ?????????????? ??????? ?????? ???????? ???????? ?????? ???????????????
22,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/15,Medani,15,"Allah will throw back their mockery on them, and give them rope in their trespasses; so they will wander like blind ones (To and fro).",,???? ?????? ??? ?????? ?? ??????? ??????,7,34,??????? ???????????? ?????? ????????????? ??? ????????????? ???????????
23,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/16,Medani,16,"These are they who have bartered Guidance for error: But their traffic is profitless, and they have lost true direction,",,????? ????? ?????? ??????? ?????? ??? ???? ??????? ??? ????? ??????,11,57,?????????? ????????? ?????????? ???????????? ??????????? ????? ???????? ????????????? ????? ??????? ???????????
24,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/17,Medani,17,"Their similitude is that of a man who kindled a fire; when it lighted all around him, Allah took away their light and left them in utter darkness. So they could not see.",,????? ???? ???? ?????? ????? ???? ????? ?? ???? ??? ???? ?????? ?????? ?? ?????? ?? ??????,17,74,?????????? ???????? ??????? ??????????? ?????? ???????? ????????? ??? ???????? ?????? ??????? ??????????? ???????????? ??? ????????? ??? ???????????
25,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/18,Medani,18,"Deaf, dumb, and blind, they will not return (to the path).",,?? ??? ??? ??? ?? ??????,6,19,????? ?????? ?????? ?????? ??? ???????????
26,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/19,Medani,19,"Or (another similitude) is that of a rain-laden cloud from the sky: In it are zones of darkness, and thunder and lightning: They press their fingers in their ears to keep out the stunning thunder-clap, the while they are in terror of death. But Allah is ever round the rejecters of Faith!",,?? ????? ?? ?????? ??? ????? ???? ???? ?????? ??????? ?? ?????? ?? ??????? ??? ????? ? ????? ???? ?????????,20,88,???? ????????? ???? ?????????? ????? ????????? ???????? ???????? ??????????? ????????????? ??? ?????????? ???? ???????????? ?????? ????????? ? ????????? ??????? ???????????????
27,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/20,Medani,20,"The lightning all but snatches away their sight; every time the light (Helps) them, they walk therein, and when the darkness grows on them, they stand still. And if Allah willed, He could take away their faculty of hearing and seeing; for Allah hath power over all things.",,???? ????? ???? ??????? ? ???? ???? ??? ???? ??? ???? ???? ????? ????? ? ??? ??? ???? ???? ?????? ???????? ? ?? ???? ??? ?? ???? ????,28,106,??????? ????????? ???????? ????????????? ? ???????? ??????? ?????? ??????? ????? ??????? ???????? ?????????? ??????? ? ?????? ????? ??????? ???????? ???????????? ??????????????? ? ????? ??????? ?????? ????? ?????? ???????
28,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/21,Medani,21,"O ye people! Adore your Guardian-Lord, who created you and those who came before you, that ye may have the chance to learn righteousness;",,?? ???? ????? ?????? ???? ???? ????? ?????? ?? ????? ????? ?????,12,53,??? ???????? ???????? ????????? ????????? ??????? ?????????? ??????????? ???? ?????????? ??????????? ??????????
29,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/22,Medani,22,"Who has made the earth your couch, and the heavens your canopy; and sent down rain from the heavens; and brought forth therewith Fruits for your sustenance; then set not up rivals unto Allah when ye know (the truth).",,???? ??? ??? ????? ?????? ??????? ????? ????? ?? ?????? ???? ????? ?? ?? ??????? ????? ??? ? ??? ?????? ??? ??????? ????? ??????,24,105,??????? ?????? ?????? ????????? ???????? ???????????? ??????? ?????????? ???? ?????????? ????? ?????????? ???? ???? ???????????? ??????? ?????? ? ????? ?????????? ??????? ?????????? ?????????? ???????????
30,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/23,Medani,23,"And if ye are in doubt as to what We have revealed from time to time to Our servant, then produce a Sura like thereunto; and call your witnesses or helpers (If there are any) besides Allah, if your (doubts) are true.",,??? ???? ?? ???? ??? ????? ??? ????? ????? ?????? ?? ???? ?????? ??????? ?? ??? ???? ?? ???? ??????,20,80,?????? ???????? ??? ?????? ?????? ?????????? ?????? ????????? ???????? ????????? ???? ???????? ????????? ????????????? ???? ????? ??????? ???? ???????? ??????????
31,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/24,Medani,24,"But if ye cannot- and of a surety ye cannot- then fear the Fire whose fuel is men and stones,- which is prepared for those who reject Faith.",,??? ?? ?????? ??? ?????? ?????? ????? ???? ?????? ????? ???????? ? ???? ????????,14,67,?????? ???? ?????????? ?????? ?????????? ?????????? ???????? ??????? ?????????? ???????? ?????????????? ? ????????? ??????????????
32,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/25,Medani,25,"But give glad tidings to those who believe and work righteousness, that their portion is Gardens, beneath which rivers flow. Every time they are fed with fruits therefrom, they say: ""Why, this is what we were fed with before,"" for they are given things in similitude; and they have therein companions pure (and holy); and they abide therein (for ever).",,???? ????? ????? ?????? ???????? ?? ??? ????? ???? ?? ????? ??????? ? ???? ????? ???? ?? ????? ????? ? ????? ??? ???? ????? ?? ??? ? ????? ?? ???????? ? ???? ???? ????? ????? ? ??? ???? ??????,39,154,????????? ????????? ??????? ?????????? ????????????? ????? ?????? ???????? ??????? ???? ????????? ???????????? ? ???????? ???????? ??????? ???? ???????? ??????? ? ??????? ?????? ??????? ????????? ???? ?????? ? ???????? ???? ???????????? ? ???????? ?????? ????????? ??????????? ? ?????? ?????? ??????????
33,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/26,Medani,26,"Allah disdains not to use the similitude of things, lowest as well as highest. Those who believe know that it is truth from their Lord; but those who reject Faith say: ""What means Allah by this similitude?"" By it He causes many to stray, and many He leads into the right path; but He causes not to stray, except those who forsake (the path),-",,?? ???? ?? ?????? ?? ???? ????? ?? ?????? ??? ????? ? ???? ????? ????? ??????? ??? ???? ?? ???? ? ???? ????? ????? ??????? ???? ???? ???? ???? ????? ? ??? ?? ?????? ????? ?? ?????? ? ??? ??? ?? ??? ????????,43,164,????? ??????? ??? ??????????? ???? ???????? ??????? ??? ????????? ????? ????????? ? ???????? ????????? ??????? ????????????? ??????? ???????? ???? ????????? ? ???????? ????????? ???????? ???????????? ?????? ??????? ??????? ???????? ??????? ? ??????? ???? ???????? ????????? ???? ???????? ? ????? ??????? ???? ?????? ?????????????
34,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/27,Medani,27,"Those who break Allah's Covenant after it is ratified, and who sunder what Allah Has ordered to be joined, and do mischief on earth: These cause loss (only) to themselves.",,????? ?????? ??? ???? ?? ??? ?????? ??????? ?? ??? ???? ?? ?? ???? ??????? ?? ????? ? ????? ?? ????????,21,83,????????? ??????????? ?????? ??????? ???? ?????? ?????????? ????????????? ??? ?????? ??????? ???? ???? ??????? ????????????? ??? ????????? ? ?????????? ???? ?????????????
35,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/28,Medani,28,"How can ye reject the faith in Allah?- seeing that ye were without life, and He gave you life; then will He cause you to die, and will again bring you to life; and again to Him will ye return.",,??? ?????? ????? ????? ??????? ??????? ? ?? ?????? ?? ?????? ?? ???? ??????,14,62,?????? ??????????? ????????? ?????????? ?????????? ????????????? ? ????? ??????????? ????? ??????????? ????? ???????? ???????????
36,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/29,Medani,29,"It is He Who hath created for you all things that are on earth; Moreover His design comprehended the heavens, for He gave order and perfection to the seven firmaments; and of all things He hath perfect knowledge.",,?? ???? ??? ??? ?? ?? ????? ?????? ?? ????? ??? ?????? ?????? ??? ??????? ? ??? ??? ???? ????,20,74,???? ??????? ?????? ?????? ??? ??? ????????? ???????? ????? ????????? ????? ?????????? ????????????? ?????? ?????????? ? ?????? ??????? ?????? ???????
37,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/30,Medani,30,"Behold, thy Lord said to the angels: ""I will create a vicegerent on earth."" They said: ""Wilt Thou place therein one who will make mischief therein and shed blood?- whilst we do celebrate Thy praises and glorify Thy holy (name)?"" He said: ""I know what ye know not.""",,??? ??? ??? ???????? ??? ???? ?? ????? ?????? ? ????? ????? ???? ?? ???? ???? ????? ?????? ???? ???? ????? ????? ?? ? ??? ??? ???? ?? ?? ??????,30,114,?????? ????? ??????? ??????????????? ?????? ??????? ??? ????????? ????????? ? ??????? ?????????? ?????? ???? ???????? ?????? ?????????? ?????????? ???????? ????????? ?????????? ??????????? ???? ? ????? ?????? ???????? ??? ??? ???????????
38,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/31,Medani,31,"And He taught Adam the names of all things; then He placed them before the angels, and said: ""Tell me the names of these if ye are right.""",,???? ??? ??????? ???? ?? ????? ??? ???????? ???? ??????? ?????? ????? ?? ???? ??????,15,70,????????? ????? ???????????? ???????? ????? ?????????? ????? ?????????????? ??????? ???????????? ??????????? ?????????? ???? ???????? ??????????
39,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/32,Medani,32,"They said: ""Glory to Thee, of knowledge We have none, save what Thou Hast taught us: In truth it is Thou Who art perfect in knowledge and wisdom.""",,????? ?????? ?? ??? ??? ??? ?? ?????? ? ??? ??? ?????? ??????,13,49,??????? ??????????? ??? ?????? ????? ?????? ??? ???????????? ? ??????? ?????? ?????????? ??????????
40,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/33,Medani,33,"He said: ""O Adam! Tell them their names."" When he had told them, Allah said: ""Did I not tell you that I know the secrets of heaven and earth, and I know what ye reveal and what ye conceal?""",,??? ?? ??? ?????? ???????? ? ???? ?????? ???????? ??? ??? ??? ??? ??? ???? ??? ???????? ?????? ????? ?? ????? ??? ???? ??????,24,102,????? ??? ????? ???????????? ??????????????? ? ???????? ???????????? ??????????????? ????? ?????? ?????? ?????? ?????? ???????? ?????? ????????????? ??????????? ?????????? ??? ????????? ????? ???????? ???????????
41,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/34,Medani,34,"And behold, We said to the angels: ""Bow down to Adam"" and they bowed down. Not so Iblis: he refused and was haughty: He was of those who reject Faith.",,??? ???? ???????? ?????? ???? ?????? ??? ????? ??? ??????? ???? ?? ????????,13,63,?????? ??????? ??????????????? ????????? ??????? ?????????? ?????? ????????? ?????? ????????????? ??????? ???? ?????????????
42,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/35,Medani,35,"We said: ""O Adam! dwell thou and thy wife in the Garden; and eat of the bountiful things therein as (where and when) ye will; but approach not this tree, or ye run into harm and transgression.""",,????? ?? ??? ???? ??? ????? ????? ???? ???? ????? ??? ????? ??? ????? ??? ?????? ?????? ?? ????????,19,81,????????? ??? ????? ??????? ?????? ?????????? ?????????? ??????? ??????? ??????? ?????? ????????? ????? ????????? ??????? ??????????? ?????????? ???? ?????????????
43,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/36,Medani,36,"Then did Satan make them slip from the (garden), and get them out of the state (of felicity) in which they had been. We said: ""Get ye down, all (ye people), with enmity between yourselves. On earth will be your dwelling-place and your means of livelihood - for a time.""",,??????? ??????? ???? ???????? ??? ???? ??? ? ????? ?????? ????? ????? ??? ? ???? ?? ????? ????? ????? ??? ????,21,90,?????????????? ???????????? ??????? ??????????????? ?????? ?????? ????? ? ????????? ????????? ?????????? ???????? ??????? ? ???????? ??? ????????? ??????????? ????????? ?????? ?????
44,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/37,Medani,37,"Then learnt Adam from his Lord words of inspiration, and his Lord Turned towards him; for He is Oft-Returning, Most Merciful.",,????? ??? ?? ??? ?????? ???? ???? ? ??? ?? ?????? ??????,12,45,??????????? ????? ???? ??????? ????????? ??????? ???????? ? ??????? ???? ??????????? ??????????
45,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/38,Medani,38,"We said: ""Get ye down all from here; and if, as is sure, there comes to you Guidance from me, whosoever follows My guidance, on them shall be no fear, nor shall they grieve.",,???? ?????? ???? ?????? ? ???? ??????? ??? ???? ??? ??? ???? ??? ??? ????? ??? ?? ??????,18,71,??????? ????????? ??????? ???????? ? ???????? ??????????????? ?????? ????? ?????? ?????? ??????? ????? ?????? ?????????? ????? ???? ???????????
46,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/39,Medani,39,"""But those who reject Faith and belie Our Signs, they shall be companions of the Fire; they shall abide therein.""",,?????? ????? ?????? ??????? ????? ????? ????? ? ?? ???? ??????,11,52,??????????? ???????? ??????????? ??????????? ?????????? ????????? ???????? ? ???? ?????? ??????????
47,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/40,Medani,40,"O Children of Israel! call to mind the (special) favour which I bestowed upon you, and fulfil your covenant with Me as I fulfil My Covenant with you, and fear none but Me.",,?? ??? ??????? ?????? ????? ???? ????? ????? ?????? ????? ??? ?????? ????? ???????,14,69,??? ????? ???????????? ????????? ?????????? ??????? ?????????? ?????????? ?????????? ????????? ????? ???????????? ?????????? ????????????
48,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/41,Medani,41,"And believe in what I reveal, confirming the revelation which is with you, and be not the first to reject Faith therein, nor sell My Signs for a small price; and fear Me, and Me alone.",,?????? ??? ????? ?????? ??? ???? ??? ?????? ??? ????? ?? ? ??? ?????? ?????? ????? ?????? ????? ??????,19,84,????????? ????? ?????????? ?????????? ????? ???????? ????? ????????? ??????? ??????? ???? ? ????? ?????????? ????????? ??????? ???????? ?????????? ???????????
49,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/42,Medani,42,"And cover not Truth with falsehood, nor conceal the Truth when ye know (what it is).",,??? ?????? ???? ??????? ??????? ???? ????? ??????,8,42,????? ?????????? ???????? ???????????? ???????????? ???????? ?????????? ???????????
50,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/43,Medani,43,And be steadfast in prayer; practise regular charity; and bow down your heads with those who bow down (in worship).,,??????? ?????? ????? ?????? ??????? ?? ????????,7,41,??????????? ?????????? ??????? ?????????? ??????????? ???? ?????????????
51,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/44,Medani,44,"Do ye enjoin right conduct on the people, and forget (To practise it) yourselves, and yet ye study the Scripture? Will ye not understand?",,??????? ????? ????? ?????? ?????? ????? ????? ?????? ? ???? ??????,11,56,????????????? ???????? ?????????? ???????????? ???????????? ?????????? ????????? ?????????? ? ??????? ???????????
52,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/45,Medani,45,"Nay, seek (Allah's) help with patient perseverance and prayer: It is indeed hard, except to those who bring a lowly spirit,-",,????????? ?????? ??????? ? ????? ?????? ??? ??? ????????,9,48,?????????????? ??????????? ???????????? ? ?????????? ??????????? ?????? ????? ?????????????
53,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/46,Medani,46,"Who bear in mind the certainty that they are to meet their Lord, and that they are to return to Him.",,????? ????? ???? ????? ???? ????? ???? ??????,8,38,????????? ?????????? ????????? ???????? ????????? ??????????? ???????? ??????????
54,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/47,Medani,47,"Children of Israel! call to mind the (special) favour which I bestowed upon you, and that I preferred you to all other (for My Message).",,?? ??? ??????? ?????? ????? ???? ????? ????? ???? ?????? ??? ????????,12,58,??? ????? ???????????? ????????? ?????????? ??????? ?????????? ?????????? ???????? ????????????? ????? ?????????????
55,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/48,Medani,48,"Then guard yourselves against a day when one soul shall not avail another nor shall intercession be accepted for her, nor shall compensation be taken from her, nor shall anyone be helped (from outside).",,?????? ????? ?? ???? ??? ?? ???? ????? ??? ???? ???? ????? ??? ???? ???? ??? ??? ?? ??????,19,72,?????????? ??????? ??? ??????? ?????? ???? ?????? ??????? ????? ???????? ??????? ????????? ????? ???????? ??????? ?????? ????? ???? ???????????
56,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/49,Medani,49,"And remember, We delivered you from the people of Pharaoh: They set you hard tasks and punishments, slaughtered your sons and let your women-folk live; therein was a tremendous trial from your Lord.",,??? ??????? ?? ?? ????? ???????? ??? ?????? ?????? ??????? ???????? ?????? ? ??? ???? ???? ?? ???? ????,19,85,?????? ?????????????? ???? ??? ?????????? ?????????????? ????? ?????????? ???????????? ????????????? ??????????????? ??????????? ? ????? ????????? ??????? ???? ????????? ???????
57,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/50,Medani,50,And remember We divided the sea for you and saved you and drowned Pharaoh's people within your very sight.,,??? ????? ??? ????? ????????? ??????? ?? ????? ????? ??????,10,50,?????? ????????? ?????? ????????? ????????????????? ????????????? ??? ?????????? ?????????? ???????????
58,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/51,Medani,51,"And remember We appointed forty nights for Moses, and in his absence ye took the calf (for worship), and ye did grievous wrong.",,??? ?????? ???? ?????? ????? ?? ?????? ????? ?? ???? ????? ??????,12,54,?????? ?????????? ??????? ??????????? ???????? ????? ???????????? ????????? ???? ???????? ?????????? ??????????
59,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/52,Medani,52,Even then We did forgive you; there was a chance for you to be grateful.,,?? ????? ???? ?? ??? ??? ????? ??????,8,30,????? ????????? ???????? ???? ?????? ??????? ??????????? ???????????
60,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/53,Medani,53,And remember We gave Moses the Scripture and the Criterion (Between right and wrong): There was a chance for you to be guided aright.,,??? ????? ???? ?????? ???????? ????? ??????,7,37,?????? ???????? ?????? ?????????? ?????????????? ??????????? ???????????
61,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/54,Medani,54,"And remember Moses said to his people: ""O my people! Ye have indeed wronged yourselves by your worship of the calf: So turn (in repentance) to your Maker, and slay yourselves (the wrong-doers); that will be better for you in the sight of your Maker."" Then He turned towards you (in forgiveness): For He is Oft-Returning, Most Merciful.",,??? ??? ???? ????? ?? ??? ???? ????? ?????? ???????? ????? ?????? ??? ?????? ??????? ?????? ???? ??? ??? ??? ?????? ???? ????? ? ??? ?? ?????? ??????,28,122,?????? ????? ??????? ?????????? ??? ?????? ????????? ?????????? ???????????? ??????????????? ????????? ????????? ?????? ??????????? ??????????? ???????????? ????????? ?????? ?????? ?????? ??????????? ??????? ?????????? ? ??????? ???? ??????????? ??????????
62,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/55,Medani,55,"And remember ye said: ""O Moses! We shall never believe in thee until we see Allah manifestly,"" but ye were dazed with thunder and lighting even as ye looked on.",,??? ???? ?? ???? ?? ???? ?? ??? ??? ???? ????? ??????? ??????? ????? ??????,15,61,?????? ???????? ??? ??????? ???? ???????? ???? ??????? ????? ??????? ???????? ?????????????? ???????????? ?????????? ???????????
63,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/56,Medani,56,Then We raised you up after your death: Ye had the chance to be grateful.,,?? ??????? ?? ??? ????? ????? ??????,7,30,????? ????????????? ???? ?????? ?????????? ??????????? ???????????
64,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/57,Medani,57,"And We gave you the shade of clouds and sent down to you Manna and quails, saying: ""Eat of the good things We have provided for you:"" (But they rebelled); to us they did no harm, but they harmed their own souls.",,?????? ????? ?????? ??????? ????? ???? ??????? ? ???? ?? ????? ?? ??????? ? ??? ?????? ???? ????? ?????? ??????,20,92,???????????? ?????????? ?????????? ????????????? ?????????? ???????? ????????????? ? ?????? ???? ?????????? ??? ????????????? ? ????? ?????????? ????????? ??????? ???????????? ???????????
65,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/58,Medani,58,"And remember We said: ""Enter this town, and eat of the plenty therein as ye wish; but enter the gate with humility, in posture and in words, and We shall forgive you your faults and increase (the portion of) those who do good.""",,??? ???? ?????? ??? ?????? ????? ???? ??? ???? ????? ??????? ????? ????? ?????? ??? ???? ??? ??????? ? ?????? ????????,21,98,?????? ??????? ????????? ??????? ??????????? ???????? ??????? ?????? ???????? ??????? ??????????? ???????? ???????? ????????? ??????? ???????? ?????? ???????????? ? ??????????? ??????????????
